event_id,customer_id,session_id,event_type,event_timestamp,page_url,product_id,category_id,referrer_source_id,device,user_agent,ip_address
1,1058,sess_lzor8dz6,click,2025-01-05 17:00:00,/product/2,40,105,3,desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64),177.122.72.152
2,1097,sess_ovi9zve5,page_view,2025-01-01 19:03:00,/product/17,41,103,5,mobile,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),56.89.103.32
3,1018,sess_q1f2gwhu,search,2025-01-07 21:13:00,/product/40,44,105,2,desktop,Mozilla/5.0 (Linux; Android 12),160.164.174.52
4,1035,sess_dypawx0o,add_to_cart,2025-01-03 16:29:00,/product/6,9,103,5,desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64),151.153.85.10
5,1014,sess_ig68bmlt,search,2025-01-01 16:03:00,/product/5,23,103,4,tablet,Mozilla/5.0 (Windows NT 10.0; Win64; x64),254.94.104.4
6,1043,sess_hxbdzenl,page_view,2025-01-03 14:51:00,/product/17,28,101,1,mobile,Mozilla/5.0 (Windows NT 10.0; Win64; x64),207.108.128.104
7,1091,sess_jwrrh7th,page_view,2025-01-06 22:26:00,/product/22,33,101,3,desktop,Mozilla/5.0 (Linux; Android 12),168.228.19.49
8,1100,sess_kadhyfp8,purchase,2025-01-06 04:14:00,/product/21,26,103,2,tablet,Mozilla/5.0 (Windows NT 10.0; Win64; x64),156.145.176.140
9,1001,sess_rgue7kp6,page_view,2025-01-01 16:30:00,/product/27,10,103,3,desktop,Mozilla/5.0 (Linux; Android 12),135.159.196.160
10,1042,sess_nybubv77,search,2025-01-07 13:33:00,/product/20,15,104,3,desktop,Mozilla/5.0 (Linux; Android 12),190.3.98.149
11,1087,sess_ie0k9wtf,click,2025-01-05 21:51:00,/product/45,32,102,2,mobile,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),145.255.158.10
12,1028,sess_1atu0dub,click,2025-01-05 15:44:00,/product/23,26,102,5,tablet,Mozilla/5.0 (Linux; Android 12),250.171.51.200
13,1050,sess_8ed8gmj2,click,2025-01-04 09:28:00,/product/10,8,101,1,mobile,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),252.188.74.121
14,1029,sess_1bzmfw9n,page_view,2025-01-01 03:03:00,/product/42,28,101,1,mobile,Mozilla/5.0 (Windows NT 10.0; Win64; x64),29.146.43.167
15,1070,sess_wak1g6tq,purchase,2025-01-01 05:47:00,/product/17,46,102,4,tablet,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),16.217.51.178
16,1071,sess_t0i5kbua,page_view,2025-01-07 14:08:00,/product/44,48,103,1,mobile,Mozilla/5.0 (Windows NT 10.0; Win64; x64),22.228.58.176
17,1065,sess_k8o28bu6,purchase,2025-01-04 21:25:00,/product/42,47,103,4,tablet,Mozilla/5.0 (Linux; Android 12),89.246.79.84
18,1088,sess_ylo27jfq,page_view,2025-01-01 14:08:00,/product/45,26,103,5,desktop,Mozilla/5.0 (Linux; Android 12),175.146.208.208
19,1082,sess_kwnuto5s,click,2025-01-02 12:55:00,/product/17,5,103,3,desktop,Mozilla/5.0 (Linux; Android 12),112.224.119.54
20,1069,sess_tbzqd0g7,purchase,2025-01-07 13:04:00,/product/44,28,105,5,desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64),236.172.95.197
21,1057,sess_3869ajl6,purchase,2025-01-01 15:31:00,/product/14,38,104,5,tablet,Mozilla/5.0 (Windows NT 10.0; Win64; x64),132.63.53.247
22,1054,sess_oxt2i2fq,add_to_cart,2025-01-05 16:01:00,/product/37,44,103,3,mobile,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),31.88.92.173
23,1051,sess_5fcea7kf,purchase,2025-01-01 18:42:00,/product/23,7,105,1,mobile,Mozilla/5.0 (Linux; Android 12),202.247.51.69
24,1098,sess_09feju6j,search,2025-01-07 09:02:00,/product/48,32,101,5,tablet,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),181.71.59.61
25,1008,sess_xfmdhj2r,purchase,2025-01-05 09:44:00,/product/21,34,103,4,tablet,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),207.41.239.204
26,1009,sess_fnckddyn,purchase,2025-01-02 05:50:00,/product/11,2,105,2,mobile,Mozilla/5.0 (Linux; Android 12),180.173.227.124
27,1004,sess_b410ysvj,purchase,2025-01-03 18:19:00,/product/22,26,102,1,mobile,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),63.221.54.206
28,1019,sess_qz3r6lwx,add_to_cart,2025-01-03 12:23:00,/product/14,32,105,1,desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64),212.234.254.85
29,1049,sess_tvp17mx6,click,2025-01-02 07:01:00,/product/8,45,104,4,tablet,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),145.184.25.157
30,1085,sess_f4d11836,search,2025-01-02 03:35:00,/product/23,49,105,5,tablet,Mozilla/5.0 (Linux; Android 12),108.245.255.9
31,1001,sess_wwdt95a1,click,2025-01-06 02:44:00,/product/16,48,105,2,tablet,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),56.68.193.56
32,1086,sess_1m4z28y8,page_view,2025-01-01 02:37:00,/product/26,36,104,2,desktop,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),136.20.69.24
33,1014,sess_sxop0hb9,search,2025-01-07 10:00:00,/product/30,7,102,1,tablet,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),15.185.67.114
34,1013,sess_22huinkh,search,2025-01-04 13:19:00,/product/41,15,104,5,desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64),186.55.12.67
35,1052,sess_x0yd9ndi,purchase,2025-01-01 00:12:00,/product/9,3,105,1,mobile,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),241.111.210.242
36,1009,sess_cb7k3g0e,purchase,2025-01-06 11:42:00,/product/27,16,102,3,tablet,Mozilla/5.0 (Linux; Android 12),73.4.86.89
37,1077,sess_6odntx1i,search,2025-01-06 10:22:00,/product/31,3,104,5,tablet,Mozilla/5.0 (Windows NT 10.0; Win64; x64),193.102.77.190
38,1025,sess_h1ighio6,click,2025-01-05 08:23:00,/product/42,40,105,1,tablet,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),146.190.60.80
